side,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,gross_pnl,net_pnl,r_multiple,trade_duration_minutes,exit_reason
SHORT,2025-10-03 13:20:00+05:30,1365.9167,2025-10-03 14:40:00+05:30,1367.98365,7,-14.468649999999343,-54.46864999999934,-0.5446864999999934,80.0,STRATEGY_EXIT_SHORT
SHORT,2025-10-03 15:15:00+05:30,1364.21755,2025-10-03 15:25:00+05:30,1365.6825,7,-10.254649999998719,-50.25464999999872,-0.5052987943172962,10.0,STRATEGY_EXIT_SHORT
LONG,2025-10-06 09:45:00+05:30,1369.4843999999998,2025-10-06 10:20:00+05:30,1365.861522494854,7,-25.360142536021158,-65.36014253602116,-0.6605185940482204,35.0,STOP_LOSS
SHORT,2025-10-06 10:45:00+05:30,1363.41795,2025-10-06 11:10:00+05:30,1366.7518269423795,7,-23.337138596656132,-63.33713859665613,-0.6443303788633225,25.0,STOP_LOSS
SHORT,2025-10-06 11:15:00+05:30,1364.1176,2025-10-06 12:40:00+05:30,1366.4829,7,-16.557099999999537,-56.55709999999954,-0.5790881082760777,85.0,STRATEGY_EXIT_SHORT
LONG,2025-10-06 13:05:00+05:30,1369.58445,2025-10-06 13:10:00+05:30,1366.3989370348468,7,-22.298590756073054,-62.298590756073054,-0.6415906030928689,5.0,STOP_LOSS
SHORT,2025-10-06 13:20:00+05:30,1363.01815,2025-10-06 15:25:00+05:30,1364.58195,7,-10.946599999999307,-50.94659999999931,-0.528068603908636,125.0,STRATEGY_EXIT_SHORT
LONG,2025-10-07 09:20:00+05:30,1373.4863999999998,2025-10-07 11:10:00+05:30,1373.5129000000002,6,0.15900000000237924,-39.84099999999762,-0.4151497890192094,110.0,STRATEGY_EXIT_LONG
LONG,2025-10-07 11:45:00+05:30,1379.0892000000001,2025-10-07 14:40:00+05:30,1377.3110000000001,6,-10.669199999999819,-50.66919999999982,-0.5301824697871408,175.0,STRATEGY_EXIT_LONG
SHORT,2025-10-08 09:15:00+05:30,1375.7118000000003,2025-10-08 09:20:00+05:30,1379.8317602520813,6,-24.719761512486002,-64.719761512486,-0.680811532033687,5.0,STOP_LOSS
SHORT,2025-10-08 09:30:00+05:30,1374.7123000000001,2025-10-08 13:05:00+05:30,1372.4859,6,13.358400000001438,-26.64159999999856,-0.28217409212600414,215.0,STRATEGY_EXIT_SHORT
SHORT,2025-10-08 14:05:00+05:30,1368.1156,2025-10-08 15:20:00+05:30,1371.7469367381202,6,-21.788020428720756,-61.788020428720756,-0.6562787060544281,75.0,STOP_LOSS
SHORT,2025-10-08 15:25:00+05:30,1367.1161,2025-10-09 09:20:00+05:30,1370.9209936463767,6,-22.829361878260443,-62.82936187826044,-0.6717478056713617,1075.0,STOP_LOSS
SHORT,2025-10-09 09:55:00+05:30,1368.3155000000002,2025-10-09 10:30:00+05:30,1372.071654248318,6,-22.53692548990739,-62.53692548990739,-0.6731430096608424,35.0,STOP_LOSS
LONG,2025-10-09 10:45:00+05:30,1372.8861,2025-10-09 14:20:00+05:30,1373.0131500000002,6,0.7623000000016873,-39.23769999999831,-0.4252141057938843,215.0,STRATEGY_EXIT_LONG
LONG,2025-10-09 15:00:00+05:30,1377.2883,2025-10-09 15:05:00+05:30,1373.5038870404746,6,-22.706477757151788,-62.70647775715179,-0.6824441990084879,5.0,STOP_LOSS
LONG,2025-10-10 09:20:00+05:30,1378.38885,2025-10-10 14:40:00+05:30,1380.5094000000001,6,12.723300000000563,-27.276699999999437,-0.29889630317362337,320.0,STRATEGY_EXIT_LONG
LONG,2025-10-13 09:15:00+05:30,1383.79155,2025-10-13 09:30:00+05:30,1379.718996491608,6,-24.43532105035092,-64.43532105035092,-0.7081948221505219,15.0,STOP_LOSS
SHORT,2025-10-13 09:35:00+05:30,1378.7103000000002,2025-10-13 10:25:00+05:30,1383.123432049427,6,-26.478792296561096,-66.4787922965611,-0.7358655388844497,50.0,STOP_LOSS
SHORT,2025-10-13 11:15:00+05:30,1378.2105500000002,2025-10-13 12:00:00+05:30,1381.9068725866293,6,-22.177935519774564,-62.177935519774564,-0.6933607958197904,45.0,STOP_LOSS
SHORT,2025-10-13 12:45:00+05:30,1376.7113000000002,2025-10-13 12:55:00+05:30,1380.0973965560977,6,-20.316579336585164,-60.316579336585164,-0.6773005110668514,10.0,STOP_LOSS
SHORT,2025-10-13 13:00:00+05:30,1377.41095,2025-10-13 14:20:00+05:30,1380.0897,6,-16.07250000000022,-56.07250000000022,-0.6339370058076044,80.0,STRATEGY_EXIT_SHORT
LONG,2025-10-13 14:50:00+05:30,1382.39085,2025-10-13 15:00:00+05:30,1378.9742007948855,6,-20.49989523068689,-60.49989523068689,-0.6883554010250603,10.0,STOP_LOSS
LONG,2025-10-13 15:25:00+05:30,1381.6905,2025-10-14 10:05:00+05:30,1378.3774609662846,6,-19.87823420229188,-59.87823420229188,-0.6860044177911608,1120.0,STOP_LOSS
LONG,2025-10-14 10:35:00+05:30,1383.2912999999999,2025-10-14 10:40:00+05:30,1379.783882107905,6,-21.04450735256978,-61.04450735256978,-0.7041968311351439,5.0,STOP_LOSS
SHORT,2025-10-14 11:05:00+05:30,1376.9112,2025-10-14 12:30:00+05:30,1380.4702804522829,6,-21.354482713697053,-61.35448271369705,-0.7127921022881244,85.0,STOP_LOSS
LONG,2025-10-14 13:45:00+05:30,1382.691,2025-10-14 15:25:00+05:30,1384.1076,6,8.4996000000001,-31.5003999999999,-0.3685864375545102,100.0,STRATEGY_EXIT_LONG
LONG,2025-10-15 09:15:00+05:30,1391.7955499999998,2025-10-15 09:25:00+05:30,1387.794509097509,6,-24.006245414944715,-64.00624541494471,-0.7517082949424063,10.0,STOP_LOSS
LONG,2025-10-15 09:30:00+05:30,1389.9946499999999,2025-10-15 09:35:00+05:30,1386.0886029472404,6,-23.436282316557026,-63.436282316557026,-0.7506572322611705,5.0,STOP_LOSS
LONG,2025-10-15 09:45:00+05:30,1388.19375,2025-10-15 14:45:00+05:30,1394.9022,6,40.250700000000506,0.2507000000005064,0.002989032549632134,300.0,STRATEGY_EXIT_LONG
LONG,2025-10-15 15:00:00+05:30,1398.4988999999998,2025-10-15 15:25:00+05:30,1398.3005,5,-0.9919999999988249,-40.991999999998825,-0.48872261678935564,25.0,STRATEGY_EXIT_LONG
LONG,2025-10-16 09:15:00+05:30,1404.5019,2025-10-16 09:20:00+05:30,1400.6438989464098,5,-19.290005267951074,-59.290005267951074,-0.7103502166207987,5.0,STOP_LOSS
LONG,2025-10-16 09:25:00+05:30,1402.40085,2025-10-16 15:25:00+05:30,1416.6913000000002,5,71.45225000000096,31.45225000000096,0.37952358390181795,360.0,STRATEGY_EXIT_LONG
