timestamp,open,high,low,close,volume,ema20,ema50,ema200,vwap,rsi,macd,macd_signal,macd_hist,roc,atr,bb_width,rolling_std,dist_ema20,dist_vwap,higher_high,lower_low,rolling_volume_avg
2025-10-03 13:20:00+05:30,1368.4,1368.6,1366.2,1366.6,120409.0,1368.0565634205313,1368.3615089118716,1363.8061309267819,1360.5705632375798,43.553508050016276,-0.048070509668605155,-0.10326076031570426,0.05519025064709911,-0.02926115581566302,2.0252907327793666,0.0034382374977434947,1.175786970493949,-1.4565634205314382,6.029436762420119,False,True,147843.95
2025-10-03 13:25:00+05:30,1366.8,1367.0,1365.4,1366.0,87111.0,1367.8607002376236,1368.2689007192494,1363.827960469799,1360.5805277602835,41.44231199939282,-0.20874891614857916,-0.12435839148227924,-0.08439052466629991,-0.04390458071125147,1.9949128232951197,0.003595338634502203,1.2293900926817103,-1.8607002376236323,5.41947223971647,False,True,137634.8
2025-10-03 13:30:00+05:30,1366.2,1366.5,1365.0,1365.1,87395.0,1367.597776405469,1368.1446301028082,1363.8406175795524,1360.5894126179433,38.43288153420238,-0.404052523320388,-0.180297217849901,-0.223755305470487,0.0,1.9595619073454682,0.00385312766211157,1.3173458163993712,-2.4977764054690397,4.510587382056656,False,True,136723.8
2025-10-03 13:35:00+05:30,1365.1,1365.7,1364.1,1364.3,239996.0,1367.283702462091,1367.993860294855,1363.84518854891,1360.6095631401197,35.93490153236158,-0.6162812466225205,-0.2674940236044249,-0.34878722301809556,-0.1025115325474224,1.9338789139636587,0.004361439743278202,1.4909309172412606,-2.9837024620910597,3.690436859880265,False,True,141905.55
2025-10-03 13:40:00+05:30,1364.4,1366.2,1364.4,1365.4,172598.0,1367.1043022276062,1367.892140283292,1363.8606593096174,1360.6261580365954,41.55945026622122,-0.6877848760286724,-0.35155219408927446,-0.336232681939398,-0.13895999414904603,1.9314589915376896,0.004531690175114217,1.5489996772066836,-1.7043022276061492,4.7738419634047204,True,False,145503.5
2025-10-03 13:45:00+05:30,1365.5,1366.3,1364.5,1365.6,107319.0,1366.9610353487867,1367.8022524290454,1363.8779661821586,1360.6367084631095,42.54709370432068,-0.7200138178595807,-0.42524451884333575,-0.294769299016245,-0.21920210434019927,1.9220690635707085,0.004603988900439073,1.573562836364363,-1.3610353487867997,4.963291536890438,True,False,146499.95
2025-10-03 13:50:00+05:30,1365.5,1365.6,1365.2,1365.4,58177.0,1366.812365315569,1367.7080464514358,1363.8931107972617,1360.6423299091573,41.786579385900524,-0.7530135435915781,-0.49079832379298427,-0.26221521979859386,-0.27753432661408173,1.8133498447442196,0.004633960871893399,1.583627165714138,-1.4123653155688771,4.757670090842794,False,False,140876.75
2025-10-03 13:55:00+05:30,1365.3,1366.4,1364.6,1364.9,114154.0,1366.6302352855148,1367.5979269827521,1363.9031295952989,1360.653090717327,39.86797107310714,-0.8101727185260188,-0.5546732027395912,-0.2554995157864276,-0.27763571272009235,1.8123962844053598,0.004811702020553626,1.644224741325933,-1.7302352855147092,4.246909282673187,True,True,141673.8
2025-10-03 14:00:00+05:30,1365.0,1365.0,1364.4,1364.9,79503.0,1366.4654509726086,1367.492125924605,1363.9130487038035,1360.6596990185417,39.86797107310715,-0.8457228103575289,-0.6128831242631788,-0.23283968609435013,-0.28492109877263916,1.7257965498049705,0.004968846342437526,1.6977926846316653,-1.5654509726084598,4.240300981458404,False,True,138045.55
2025-10-03 14:05:00+05:30,1364.9,1365.2,1364.3,1364.3,88326.0,1366.259217546646,1367.366944515797,1363.9168989654572,1360.6667189090904,37.473423424880345,-0.9118008274863314,-0.6726666649078094,-0.23913416257852205,-0.3724258799474356,1.666811081961765,0.005209774042933651,1.779964887291131,-1.9592175466459594,3.633281090909577,True,True,133735.9
